date,max_temp,min_temp
2026-02-27,22.8,20.5
2026-02-28,24.6,19.0
2026-03-01,28.4,20.8
2026-03-02,31.9,24.7
2026-03-03,29.2,23.9
2026-03-04,28.4,23.3
2026-03-05,24.2,22.5
2026-03-06,23.2,21.8
